"Theatre_Name","Theatre_Address","Movie_Name","Show_Date","Location_or_Zipcode","Duration","Genre","Movie_Rating","Star_Rating"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","A Quiet Place","2018-04-10","27514","90","Horror,Suspense/Thriller","PG13","4.5"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","Ready Player One","2018-04-10","27514","140","Action/Adventure,Sci-Fi/Fantasy","PG13","4.5"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","Pacific Rim Uprising (2018)","2018-04-10","27514","110","Action/Adventure,Sci-Fi/Fantasy","PG13","4"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","I Can Only Imagine","2018-04-10","27514","110","Drama","PG","5"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","A Wrinkle in Time","2018-04-10","27514","109","Action/Adventure,Sci-Fi/Fantasy","PG","3.5"
"Regal Timberlyne 6","120 Banks Street Chapel Hill NC 27514","Black Panther","2018-04-10","27514","134","Action/Adventure,Sci-Fi/Fantasy","PG13","5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","A Quiet Place","2018-04-10","27514","90","Horror,Suspense/Thriller","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Blockers","2018-04-10","27514","102","Comedy","R","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Chappaquiddick","2018-04-10","27514","101","Drama,Suspense/Thriller","PG13","4"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","The Miracle Season","2018-04-10","27514","99","Drama","PG","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Tyler Perry's Acrimony","2018-04-10","27514","120","Comedy,Suspense/Thriller","R","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Ready Player One","2018-04-10","27514","140","Action/Adventure,Sci-Fi/Fantasy","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Isle of Dogs","2018-04-10","27514","101","Action/Adventure,Animated,Comedy,Sci-Fi/Fantasy","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","I Can Only Imagine","2018-04-10","27514","110","Drama","PG","5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Love, Simon","2018-04-10","27514","110","Comedy,Drama,Romance","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","A Wrinkle in Time","2018-04-10","27514","109","Action/Adventure,Sci-Fi/Fantasy","PG","3.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","The Death of Stalin","2018-04-10","27514","107","Action/Adventure,Comedy","R","4"
